instanceid,id,opmode,entityid,observedat,subproperties,unitcode,datasetid,valuetype,text,boolean,number,datetime,compound,geopoint,geomultipoint,geopolygon,geomultipolygon,geolinestring,geomultilinestring,ts
urn:ngsi-ld:attribute:instance:26f81db8-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/atmosphericPressure,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 12:00:00,f,HPA,None,Number,,,1013.7,,,,,,,,,2026-04-07 13:31:58.597000
urn:ngsi-ld:attribute:instance:26f81f2a-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 12:00:00,f,MTS,None,Number,,,3.6,,,,,,,,,2026-04-07 13:31:58.597000
urn:ngsi-ld:attribute:instance:26f82042-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 12:00:00,f,DD,None,Number,,,90,,,,,,,,,2026-04-07 13:31:58.597000
urn:ngsi-ld:attribute:instance:26f820f6-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 12:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 13:31:58.597000
urn:ngsi-ld:attribute:instance:26f82196-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T12:00:00+0000""}",,,,,,,2026-04-07 13:31:58.597000
urn:ngsi-ld:attribute:instance:26f98478-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 12:00:00,f,,None,Number,,,39.480557,,,,,,,,,2026-04-07 13:31:58.607000
urn:ngsi-ld:attribute:instance:26f9855e-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 12:00:00,f,,None,Number,,,-0.366387,,,,,,,,,2026-04-07 13:31:58.607000
urn:ngsi-ld:attribute:instance:26f98612-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 12:00:00,f,CEL,None,Number,,,19.6,,,,,,,,,2026-04-07 13:31:58.607000
urn:ngsi-ld:attribute:instance:26f986d0-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 12:00:00,f,P1,None,Number,,,53,,,,,,,,,2026-04-07 13:31:58.607000
urn:ngsi-ld:attribute:instance:26f9877a-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 12:00:00,f,MTS,None,Number,,,1.6,,,,,,,,,2026-04-07 13:31:58.607000
urn:ngsi-ld:attribute:instance:26f9881a-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 12:00:00,f,DD,None,Number,,,111,,,,,,,,,2026-04-07 13:31:58.607000
urn:ngsi-ld:attribute:instance:26f988ec-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 12:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 13:31:58.607000
urn:ngsi-ld:attribute:instance:26f989dc-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T12:00:00+0000""}",,,,,,,2026-04-07 13:31:58.607000
urn:ngsi-ld:attribute:instance:26fae08e-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,2026-04-07 12:00:00,f,,None,Number,,,39.795551,,,,,,,,,2026-04-07 13:31:58.616000
urn:ngsi-ld:attribute:instance:26fae174-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,2026-04-07 12:00:00,f,,None,Number,,,-0.485282,,,,,,,,,2026-04-07 13:31:58.616000
urn:ngsi-ld:attribute:instance:26fae21e-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,2026-04-07 12:00:00,f,CEL,None,Number,,,20.6,,,,,,,,,2026-04-07 13:31:58.616000
urn:ngsi-ld:attribute:instance:26fae2d2-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,2026-04-07 12:00:00,f,P1,None,Number,,,39,,,,,,,,,2026-04-07 13:31:58.616000
